"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"3-fish-speed"
"01/02/2025 16:49:19:898 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"4","false","1.2","3","3","150","1","10","100","1","3","0.3","0.3","20","8","253","0.3952569169960474","100","10","0"
"2","false","1.2","3","3","150","1","10","100","1","3","0.3","0.3","20","8","428","0.2336448598130841","100","10","0"
"5","false","1.2","3","3","150","1","10","100","1","3","0.3","0.3","20","8","364","0.27472527472527475","100","10","0"
"3","false","1.2","3","3","150","1","10","100","1","3","0.3","0.3","20","8","330","0.30303030303030304","100","10","0"
"1","false","1.2","3","3","150","1","10","100","1","3","0.3","0.3","20","8","259","0.3861003861003861","100","10","0"
"9","false","1.2","3","3","150","1.2","10","100","1","3","0.3","0.3","20","8","431","0.23201856148491878","100","10","0"
"6","false","1.2","3","3","150","1.2","10","100","1","3","0.3","0.3","20","8","624","0.16025641025641027","100","10","0"
"8","false","1.2","3","3","150","1.2","10","100","1","3","0.3","0.3","20","8","757","0.13210039630118892","100","10","0"
"7","false","1.2","3","3","150","1.2","10","100","1","3","0.3","0.3","20","8","709","0.14104372355430184","100","10","0"
"11","false","1.2","3","3","150","1.5","10","100","1","3","0.3","0.3","20","8","1006","0.09940357852882704","100","10","0"
"12","false","1.2","3","3","150","1.5","10","100","1","3","0.3","0.3","20","8","1160","0.08620689655172414","100","10","0"
"13","false","1.2","3","3","150","1.5","10","100","1","3","0.3","0.3","20","8","979","0.10214504596527069","100","10","0"
"15","false","1.2","3","3","150","1.5","10","100","1","3","0.3","0.3","20","8","738","0.13550135501355012","100","10","0"
"14","false","1.2","3","3","150","1.5","10","100","1","3","0.3","0.3","20","8","1299","0.07698229407236336","100","10","0"
"16","false","1.2","3","3","150","1.7","10","100","1","3","0.3","0.3","20","8","696","0.14367816091954022","100","10","0"
"17","false","1.2","3","3","150","1.7","10","100","1","3","0.3","0.3","20","8","744","0.13440860215053763","100","10","0"
"19","false","1.2","3","3","150","1.7","10","100","1","3","0.3","0.3","20","8","861","0.11614401858304298","100","10","0"
"18","false","1.2","3","3","150","1.7","10","100","1","3","0.3","0.3","20","8","1300","0.07692307692307693","100","10","0"
"20","false","1.2","3","3","150","1.7","10","100","1","3","0.3","0.3","20","8","1140","0.08771929824561403","100","10","0"
"22","false","1.2","3","3","150","2","10","100","1","3","0.3","0.3","20","8","625","0.16","100","10","0"
"23","false","1.2","3","3","150","2","10","100","1","3","0.3","0.3","20","8","440","0.22727272727272727","100","10","0"
"21","false","1.2","3","3","150","2","10","100","1","3","0.3","0.3","20","8","450","0.2222222222222222","100","10","0"
"25","false","1.2","3","3","150","2","10","100","1","3","0.3","0.3","20","8","436","0.22935779816513763","100","10","0"
"24","false","1.2","3","3","150","2","10","100","1","3","0.3","0.3","20","8","720","0.1388888888888889","100","10","0"
"10","false","1.2","3","3","150","1.2","10","100","1","3","0.3","0.3","20","8","100000","9.9E-4","99","9.9","1"
"10","false","1.2","3","3","150","1.2","10","100","1","3","0.3","0.3","20","8","100001","9.89990100098999E-4","99","9.9","1"
